siteId,ts,nox,no2,no,pm10,nvpm10,vpm10,nvpm2.5,pm2.5,vpm2.5,co,o3,so2,loc,lat,long
500,1502352000,178.84876,57.09788,79.40385,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502373600,77.25355,44.83593,21.14222,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502413200,20.03248,17.76503,1.47879,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502445600,37.79099,22.92076,9.69812,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502481600,97.45529,37.65794,38.99881,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502528400,34.44299,20.3287,9.2051,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502571600,75.96924,47.79332,18.37585,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502625600,39.25759,23.26744,10.4285,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502665200,72.52125,44.90668,18.00975,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502686800,108.01828,56.48331,33.61023,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502694000,73.61205,41.35674,21.03637,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502704800,66.4396,33.86908,21.24194,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502834400,71.89916,38.89741,21.52318,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502845200,135.11007,42.3255,60.51252,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502852400,171.73824,44.404,83.04523,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1502859600,79.81821,36.90185,27.98932,500,,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1520899200,24.54,21.83,1.77,500,18.36,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1520910000,24.58,23.19,0.91,500,21.26,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1520928000,80.52,48.27,21.03,500,14.49,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1520967600,212.51,114.43,63.96,500,33.82,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521090000,55.89,42.27,8.88,500,2.9,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521126000,27.34,21.71,3.67,500,28.99,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521144000,51.92,37.88,9.16,500,26.09,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521190800,117.45,56.82,39.54,500,19.32,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521216000,169.87,68.62,66.03,500,22.22,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521226800,101.85,69.02,21.42,500,37.68,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521248400,80.84,44.82,23.49,500,36.72,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521262800,30.09,17.69,8.09,500,14.49,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521273600,79.26,34.46,29.22,500,28.02,,,,,,,,Temple Way,51.4579497129,-2.58398909033
500,1521277200,77.05,35.0,27.43,500,31.89,,,,,,,,Temple Way,51.4579497129,-2.58398909033
